Time of Day,count
3:40,7
18:24,7
14:16,7
8:34,7
6:32,6
3:23,6
7:41,6
22:37,6
5:29,6
12:6,6
6:39,6
6:45,6
13:31,6
19:51,6
0:49,6
16:38,6
7:25,6
6:1,6
21:37,6
1:25,6
0:37,6
5:0,6
17:25,5
2:18,5
17:9,5
3:43,5
8:14,5
17:55,5
15:1,5
8:10,5
19:34,5
15:42,5
14:33,5
7:49,5
8:27,5
21:18,5
19:19,5
3:10,5
14:20,5
20:31,5
8:52,5
21:32,5
6:37,5
10:23,5
12:50,5
0:14,5
4:55,5
23:32,5
11:33,5
8:7,5
4:24,5
6:33,5
8:6,5
7:47,5
22:19,5
21:29,5
7:43,5
20:2,5
21:7,5
1:39,5
21:52,5
9:22,5
7:21,5
21:33,5
20:13,5
13:27,5
12:58,5
5:53,5
11:52,5
21:34,5
8:19,5
0:51,5
20:34,5
10:57,5
16:37,5
11:9,5
4:30,5
2:3,5
22:38,5
12:46,5
5:8,5
1:19,5
11:58,5
8:12,5
5:7,5
12:45,4
4:58,4
21:24,4
16:24,4
1:52,4
20:41,4
16:18,4
22:16,4
13:23,4
10:22,4
5:5,4
20:12,4
9:7,4
9:44,4
10:4,4
20:27,4
8:1,4
8:53,4
1:7,4
8:45,4
14:41,4
12:26,4
16:40,4
12:7,4
17:17,4
12:31,4
4:27,4
13:2,4
1:38,4
11:11,4
17:16,4
3:27,4
17:21,4
17:12,4
15:59,4
15:40,4
15:38,4
3:33,4
4:25,4
3:6,4
5:18,4
3:5,4
16:43,4
5:38,4
20:21,4
21:45,4
21:11,4
21:47,4
2:14,4
9:45,4
4:53,4
23:21,4
0:39,4
7:24,4
9:39,4
6:42,4
5:40,4
22:52,4
23:43,4
16:30,4
16:13,4
23:44,4
0:21,4
6:44,4
21:28,4
17:14,4
21:54,4
5:26,4
21:57,4
0:28,4
7:34,4
16:58,4
11:32,4
13:7,4
14:10,4
8:30,4
5:49,4
19:28,4
17:33,4
4:34,4
17:45,4
4:19,4
17:10,4
6:31,4
14:39,4
8:8,4
14:23,4
5:52,4
14:14,4
19:23,4
7:15,4
2:36,4
18:8,4
15:33,4
5:4,4
1:5,4
23:1,4
9:16,4
0:11,4
10:31,4
2:51,4
12:36,4
0:25,4
13:47,4
9:33,4
16:7,4
0:6,4
1:43,4
3:52,4
17:58,4
7:19,4
8:29,4
9:38,4
4:39,4
19:12,4
0:13,4
4:8,4
10:34,4
1:10,4
0:54,4
12:47,4
18:51,4
3:29,4
11:10,4
23:22,4
22:25,4
22:36,4
2:43,4
12:1,3
4:7,3
6:17,3
4:10,3
7:58,3
7:46,3
10:52,3
10:51,3
14:28,3
9:37,3
16:11,3
2:1,3
18:57,3
21:30,3
20:23,3
10:54,3
21:56,3
22:43,3
0:26,3
7:52,3
11:39,3
18:7,3
13:55,3
0:5,3
2:12,3
15:19,3
19:53,3
12:15,3
22:28,3
23:34,3
21:9,3
13:11,3
14:59,3
3:25,3
1:8,3
2:4,3
14:58,3
21:46,3
23:46,3
0:0,3
0:7,3
8:38,3
6:36,3
2:41,3
22:21,3
0:40,3
13:26,3
23:41,3
17:38,3
7:31,3
19:43,3
15:22,3
17:29,3
7:38,3
4:51,3
1:59,3
19:58,3
12:0,3
0:41,3
22:27,3
8:31,3
16:36,3
3:39,3
14:12,3
17:0,3
7:5,3
12:16,3
13:17,3
